Test_ID,Predicted_Reference_Parameter,Valid / Invalid
TST-0278,32.1599,Invalid
TST-0006,19.2613,Valid
TST-0047,55.2789,Valid
TST-0311,25.2528,Valid
TST-0264,20.5534,Invalid
TST-0169,20.6197,Valid
TST-0269,18.2044,Valid
TST-0178,16.8628,Invalid
TST-0206,32.9036,Valid
TST-0038,18.2562,Valid
TST-0213,15.1774,Valid
TST-0309,16.4184,Valid
TST-0059,32.9332,Valid
TST-0159,18.7443,Valid
TST-0235,19.9577,Valid
TST-0230,21.1114,Valid
TST-0323,36.9115,Valid
TST-0262,18.5742,Valid
TST-0274,13.9854,Valid
TST-0214,48.8537,Valid
TST-0024,39.6838,Valid
TST-0234,17.5553,Valid
TST-0333,22.3624,Valid
TST-0060,20.1832,Valid
TST-0226,36.169,Valid
TST-0197,16.4387,Valid
TST-0346,41.6966,Valid
TST-0192,26.108,Valid
TST-0141,29.7514,Valid
TST-0222,38.1837,Invalid
TST-0232,19.6092,Valid
TST-0085,24.3582,Valid
TST-0237,32.5915,Valid
TST-0001,37.2819,Valid
TST-0069,16.7953,Valid
TST-0272,24.6025,Valid
TST-0343,34.8299,Valid
TST-0320,26.2996,Valid
TST-0008,30.7271,Invalid
TST-0144,22.9561,Valid
TST-0184,21.938,Valid
TST-0107,55.1801,Valid
TST-0026,41.9086,Valid
TST-0164,42.7876,Valid
TST-0217,33.4967,Valid
TST-0332,31.6702,Valid
TST-0279,23.6006,Valid
TST-0243,18.6692,Valid
TST-0163,20.7854,Valid
TST-0131,28.8754,Valid
TST-0070,16.139,Valid
TST-0137,18.8912,Valid
TST-0210,29.0816,Valid
TST-0288,21.192,Valid
TST-0248,18.054,Valid
TST-0277,21.9243,Invalid
TST-0215,21.7159,Valid
TST-0138,16.1899,Valid
TST-0228,17.6505,Valid
TST-0252,49.1709,Valid
TST-0205,30.8779,Valid
TST-0348,22.574,Valid
TST-0177,22.8998,Valid
TST-0267,38.4423,Valid
TST-0308,23.0235,Valid
TST-0087,42.7652,Invalid
TST-0117,16.99,Valid
TST-0014,18.2628,Valid
TST-0154,24.3272,Valid
TST-0207,46.8677,Valid
TST-0187,21.6438,Valid
TST-0236,21.2421,Valid
TST-0283,36.777,Invalid
TST-0089,18.2075,Valid
TST-0202,22.8764,Valid
TST-0160,18.5359,Valid
TST-0036,25.4329,Valid
TST-0275,48.1089,Valid
TST-0023,34.476,Valid
TST-0091,42.9966,Valid
TST-0151,43.5545,Valid
TST-0310,23.3315,Valid
TST-0239,15.191,Valid
TST-0331,32.4816,Valid
TST-0316,13.4683,Invalid
TST-0338,14.184,Valid
TST-0019,20.1381,Valid
TST-0168,13.8808,Invalid
TST-0007,18.1272,Valid
TST-0211,32.4524,Valid
TST-0016,37.1114,Valid
TST-0027,19.3314,Invalid
TST-0031,16.2421,Invalid
TST-0249,28.5995,Valid
TST-0011,16.1522,Valid
