iter	RMSE
0	10.22955011
1	9.935365795
2	9.639892166
3	9.338326447
4	9.061842749
5	8.782400139
6	8.520184965
7	8.261044482
8	8.004028138
9	7.764302321
10	7.539671648
11	7.328288967
12	7.141195502
13	6.941674496
14	6.751461165
15	6.586445132
16	6.41571076
17	6.237565222
18	6.076418204
19	5.906278474
20	5.753962219
21	5.622802821
22	5.483216655
23	5.347532002
24	5.209534344
25	5.08680969
26	4.959870521
27	4.845619401
28	4.741677233
29	4.63788795
30	4.536652191
31	4.432424209
32	4.337852582
33	4.25979011
34	4.171320152
35	4.083615168
36	4.000947385
37	3.930642496
38	3.853217176
39	3.785110051
40	3.714870742
41	3.658586096
42	3.594051915
43	3.535853319
44	3.473461201
45	3.422911925
46	3.368780966
47	3.309332076
48	3.243353507
49	3.194021427
50	3.148026179
51	3.099337342
52	3.056076484
53	3.019770851
54	2.979813682
55	2.941732478
56	2.903478238
57	2.859260854
58	2.831252157
59	2.792664045
60	2.767601163
61	2.727988598
62	2.691946512
63	2.659018645
64	2.623442612
65	2.595224002
66	2.566674608
67	2.53613534
68	2.508313372
69	2.479789526
70	2.455361594
71	2.430076277
72	2.405739296
73	2.382923915
74	2.36031241
75	2.333950303
76	2.316495422
77	2.297215378
78	2.279506955
79	2.256997032
80	2.238291481
81	2.223554745
82	2.207163671
83	2.189875421
84	2.172777914
85	2.159495235
86	2.145812058
87	2.132374591
88	2.120168947
89	2.10568614
90	2.090632467
91	2.074515046
92	2.06074152
93	2.049543866
94	2.039954332
95	2.028014165
96	2.014832599
97	2.004856112
98	1.989178878
99	1.978578868
100	1.96870032
101	1.958885219
102	1.948223196
103	1.942056215
104	1.927606449
105	1.918325605
106	1.911784044
107	1.904517707
108	1.896499615
109	1.887508689
110	1.880714954
111	1.876824161
112	1.86838935
113	1.859157892
114	1.853670255
115	1.845246714
116	1.841240931
117	1.83584898
118	1.828441625
119	1.823245109
120	1.817346074
121	1.811614614
122	1.805018679
123	1.798005871
124	1.789388376
125	1.780120047
126	1.775336413
127	1.769541173
128	1.764773387
129	1.757904245
130	1.752061006
131	1.748527517
132	1.74306264
133	1.736044207
134	1.730177951
135	1.72616217
136	1.720191131
137	1.716357348
138	1.711256016
139	1.707058008
140	1.702761586
141	1.69745647
142	1.69313663
143	1.689270179
144	1.682676099
145	1.678222583
146	1.673541347
147	1.669571597
148	1.665321096
149	1.662430877
150	1.656232641
151	1.65246923
152	1.649143145
153	1.64435881
154	1.641135357
155	1.637762508
156	1.633679675
157	1.6316994
158	1.627983698
159	1.624171596
160	1.621959427
161	1.617478906
162	1.613591373
163	1.610231705
164	1.602865238
165	1.599834236
166	1.595982202
167	1.592674824
168	1.588649792
169	1.582074897
170	1.579331303
171	1.573269043
172	1.569938772
173	1.568203612
174	1.564203084
175	1.561313204
176	1.559048615
177	1.556168779
178	1.552360838
179	1.549569354
180	1.542875509
181	1.5368852
182	1.53373912
183	1.530761478
184	1.527683401
185	1.525869835
186	1.522116064
187	1.518564045
188	1.516980006
189	1.515843394
190	1.511877512
191	1.509874695
192	1.507704361
193	1.50171279
194	1.497645588
195	1.495861876
196	1.48797803
197	1.486814028
198	1.485198099
199	1.481581015
200	1.48044085
201	1.478104011
202	1.475902231
203	1.47370395
204	1.471605395
205	1.470224724
206	1.467654563
207	1.465264842
208	1.463445308
209	1.457349862
210	1.455308947
211	1.452663537
212	1.450169491
213	1.445986519
214	1.444096626
215	1.440942612
216	1.4361439
217	1.435027512
218	1.433213013
219	1.432286457
220	1.427367661
221	1.425254138
222	1.423499624
223	1.422458177
224	1.421013133
225	1.415229917
226	1.409781354
227	1.408277355
228	1.40617417
229	1.402291729
230	1.401044298
231	1.394125927
232	1.39237314
233	1.39167102
234	1.387749189
235	1.382555318
236	1.381476055
237	1.380089984
238	1.378261838
239	1.376869175
240	1.371405438
241	1.365876452
242	1.363410103
243	1.35892463
244	1.357663494
245	1.355361323
246	1.35422106
247	1.349904255
248	1.348166477
249	1.346389801
250	1.341695663
251	1.340185557
252	1.335129856
253	1.330313372
254	1.326580253
255	1.322019865
256	1.318591105
257	1.317233946
258	1.315679247
259	1.314633069
260	1.313354571
261	1.31194203
262	1.307573844
263	1.302952128
264	1.301299161
265	1.296735938
266	1.295488032
267	1.291217501
268	1.290432252
269	1.288021845
270	1.286811173
271	1.28337304
272	1.28184694
273	1.280695135
274	1.278067018
275	1.274620483
276	1.270502272
277	1.269343922
278	1.264925252
279	1.263073246
280	1.259263987
281	1.258350711
282	1.257600718
283	1.253492314
284	1.252166954
285	1.24794031
286	1.243956051
287	1.242730009
288	1.238939084
289	1.237437941
290	1.232993794
291	1.229322757
292	1.228129595
293	1.227043986
294	1.22128328
295	1.220439837
296	1.219714419
297	1.218891334
298	1.21807635
299	1.214458539
