Test_ID,Predicted_Reference_Parameter,Valid / Invalid
TST-0278,30.955,Invalid
TST-0006,19.1786,Valid
TST-0047,57.4557,Valid
TST-0311,25.2853,Valid
TST-0264,22.5613,Invalid
TST-0169,19.8091,Valid
TST-0269,18.1755,Valid
TST-0178,15.2143,Invalid
TST-0206,32.2756,Valid
TST-0038,18.2321,Valid
TST-0213,15.1677,Valid
TST-0309,16.2783,Valid
TST-0059,32.9911,Valid
TST-0159,18.5217,Valid
TST-0235,19.9541,Valid
TST-0230,21.0332,Valid
TST-0323,37.6684,Valid
TST-0262,18.6371,Valid
TST-0274,14.0988,Valid
TST-0214,48.5391,Valid
TST-0024,39.8805,Valid
TST-0234,17.5155,Valid
TST-0333,22.1054,Valid
TST-0060,20.2049,Valid
TST-0226,36.9185,Valid
TST-0197,16.3045,Valid
TST-0346,41.1638,Valid
TST-0192,24.5927,Valid
TST-0141,29.5939,Valid
TST-0222,38.8246,Invalid
TST-0232,19.6224,Valid
TST-0085,23.664,Valid
TST-0237,32.5595,Valid
TST-0001,39.4014,Valid
TST-0069,16.7717,Valid
TST-0272,23.2283,Valid
TST-0343,34.6366,Valid
TST-0320,26.6914,Valid
TST-0008,32.5144,Invalid
TST-0144,23.2776,Valid
TST-0184,21.658,Valid
TST-0107,56.8201,Valid
TST-0026,41.794,Valid
TST-0164,43.118,Valid
TST-0217,33.2216,Valid
TST-0332,31.4493,Valid
TST-0279,24.2333,Valid
TST-0243,18.6364,Valid
TST-0163,20.3301,Valid
TST-0131,29.9649,Valid
TST-0070,16.2484,Valid
TST-0137,18.5541,Valid
TST-0210,29.6347,Valid
TST-0288,21.1071,Valid
TST-0248,18.2711,Valid
TST-0277,22.5139,Invalid
TST-0215,22.1502,Valid
TST-0138,16.5336,Valid
TST-0228,17.6011,Valid
TST-0252,48.8048,Valid
TST-0205,30.0701,Valid
TST-0348,22.7485,Valid
TST-0177,22.5816,Valid
TST-0267,38.5842,Valid
TST-0308,23.3772,Valid
TST-0087,46.4122,Invalid
TST-0117,17.0034,Valid
TST-0014,18.075,Valid
TST-0154,26.1558,Valid
TST-0207,47.047,Valid
TST-0187,21.7627,Valid
TST-0236,21.2238,Valid
TST-0283,35.4521,Invalid
TST-0089,18.2586,Valid
TST-0202,22.903,Valid
TST-0160,18.5659,Valid
TST-0036,26.2082,Valid
TST-0275,48.6974,Valid
TST-0023,34.3013,Valid
TST-0091,43.2376,Valid
TST-0151,43.5119,Valid
TST-0310,22.0618,Valid
TST-0239,15.0823,Valid
TST-0331,32.774,Valid
TST-0316,13.3809,Invalid
TST-0338,14.2621,Valid
TST-0019,20.0487,Valid
TST-0168,13.648,Invalid
TST-0007,18.2804,Valid
TST-0211,32.353,Valid
TST-0016,36.9442,Valid
TST-0027,19.5028,Invalid
TST-0031,16.5366,Invalid
TST-0249,28.516,Valid
TST-0011,16.1726,Valid
TST-0080,22.8607,Invalid
TST-0121,16.4418,Valid
TST-0266,19.551,Valid
TST-0198,22.1037,Valid
TST-0067,30.6184,Valid
TST-0102,21.6916,Valid
TST-0005,37.4517,Valid
TST-0003,30.9522,Valid
TST-0132,45.3462,Valid
TST-0029,26.6803,Valid
TST-0221,28.9139,Valid
TST-0099,17.7248,Valid
TST-0062,17.197,Valid
TST-0095,26.9269,Valid
TST-0126,16.9834,Valid
TST-0034,50.3325,Valid
TST-0103,15.9688,Valid
TST-0245,23.3859,Valid
TST-0058,50.4392,Valid
TST-0065,25.902,Valid
TST-0086,19.5184,Valid
TST-0342,20.4833,Valid
TST-0335,17.8719,Valid
TST-0180,18.4512,Invalid
TST-0294,23.9363,Invalid
TST-0072,20.766,Valid
TST-0315,47.9361,Invalid
TST-0182,45.8306,Valid
TST-0200,21.311,Valid
TST-0030,16.7635,Valid
TST-0193,16.8482,Valid
TST-0231,21.019,Valid
TST-0128,25.669,Valid
TST-0165,28.0784,Invalid
TST-0074,13.6794,Valid
TST-0004,34.3121,Valid
TST-0157,23.5542,Valid
TST-0143,27.3342,Valid
TST-0179,41.3252,Valid
TST-0075,27.2562,Valid
TST-0233,24.9986,Valid
TST-0111,26.3151,Valid
TST-0350,21.1489,Valid
TST-0122,17.1101,Valid
TST-0076,22.2637,Valid
TST-0304,26.2348,Valid
TST-0190,29.6561,Valid
TST-0061,16.8465,Valid
TST-0009,26.0927,Valid
TST-0194,44.0864,Valid
TST-0156,14.9244,Valid
TST-0088,31.9429,Valid
TST-0256,47.5782,Valid
TST-0329,16.5169,Valid
TST-0219,42.9323,Valid
TST-0306,13.7655,Valid
TST-0324,22.9149,Valid
TST-0113,21.853,Valid
TST-0135,16.0768,Valid
TST-0339,17.8715,Valid
TST-0260,22.8241,Valid
TST-0195,27.2919,Valid
TST-0286,28.3123,Valid
TST-0015,23.9674,Valid
TST-0263,19.4988,Valid
TST-0147,24.5293,Valid
TST-0002,24.27,Invalid
TST-0114,46.7488,Valid
TST-0271,25.0778,Invalid
TST-0223,22.0011,Valid
TST-0344,16.2452,Valid
TST-0183,30.6232,Valid
TST-0327,33.0448,Valid
TST-0250,19.8108,Invalid
TST-0185,38.4702,Valid
TST-0242,21.5496,Valid
TST-0158,13.1584,Valid
TST-0078,44.7022,Valid
TST-0120,21.7147,Invalid
TST-0093,29.771,Valid
TST-0051,15.9374,Valid
TST-0010,16.0618,Valid
TST-0013,51.5677,Valid
TST-0049,14.969,Valid
TST-0041,17.569,Valid
TST-0055,31.7734,Valid
TST-0012,20.5065,Valid
TST-0127,49.259,Valid
TST-0225,26.6573,Valid
TST-0050,23.9665,Valid
TST-0172,38.1729,Valid
TST-0079,32.4202,Valid
TST-0046,22.2837,Valid
TST-0325,18.3864,Valid
TST-0280,20.948,Valid
TST-0140,15.1013,Valid
TST-0244,47.9361,Invalid
TST-0203,20.9566,Valid
TST-0238,18.3686,Valid
TST-0092,28.0998,Valid
TST-0307,13.9295,Valid
TST-0176,29.648,Valid
TST-0115,17.6104,Invalid
TST-0028,14.1806,Invalid
TST-0317,18.9919,Valid
TST-0251,38.7312,Valid
TST-0301,14.807,Valid
TST-0116,37.5271,Valid
TST-0056,24.1771,Valid
TST-0166,27.3276,Valid
TST-0247,32.9746,Valid
TST-0291,27.6904,Valid
TST-0167,29.4878,Valid
TST-0313,48.2386,Valid
TST-0105,14.0673,Valid
TST-0104,20.8516,Valid
TST-0045,35.8356,Valid
TST-0289,44.424,Valid
TST-0048,27.2698,Valid
TST-0110,18.8075,Valid
TST-0037,39.5835,Invalid
TST-0305,18.6955,Valid
TST-0240,32.596,Valid
TST-0155,33.4789,Valid
TST-0119,52.7635,Valid
TST-0295,23.5671,Valid
TST-0229,18.4834,Valid
TST-0106,21.4031,Valid
TST-0052,15.7813,Valid
TST-0276,21.2683,Invalid
TST-0216,21.7771,Valid
