Test_ID,Predicted_Reference_Parameter,Valid / Invalid
TST-0278,30.614,Invalid
TST-0006,19.0819,Valid
TST-0047,56.4709,Valid
TST-0311,25.6833,Valid
TST-0264,23.3625,Invalid
TST-0169,19.9046,Valid
TST-0269,18.2732,Valid
TST-0178,15.5123,Invalid
TST-0206,32.4827,Valid
TST-0038,18.1798,Valid
TST-0213,15.2051,Valid
TST-0309,16.3752,Valid
TST-0059,32.8974,Valid
TST-0159,18.6139,Valid
TST-0235,19.9858,Valid
TST-0230,21.1526,Valid
TST-0323,36.841,Valid
TST-0262,18.6636,Valid
TST-0274,14.0686,Valid
TST-0214,48.6785,Valid
TST-0024,39.7636,Valid
TST-0234,17.4713,Valid
TST-0333,22.2564,Valid
TST-0060,20.2928,Valid
TST-0226,36.5965,Valid
TST-0197,16.4007,Valid
TST-0346,41.1468,Valid
TST-0192,24.9762,Valid
TST-0141,29.6596,Valid
TST-0222,38.317,Invalid
TST-0232,19.6135,Valid
TST-0085,23.4622,Valid
TST-0237,32.509,Valid
TST-0001,37.8568,Valid
TST-0069,16.6862,Valid
TST-0272,23.3007,Valid
TST-0343,35.0076,Valid
TST-0320,26.4505,Valid
TST-0008,33.0962,Invalid
TST-0144,23.3409,Valid
TST-0184,21.766,Valid
TST-0107,56.2381,Valid
TST-0026,41.8295,Valid
TST-0164,42.9603,Valid
TST-0217,33.1966,Valid
TST-0332,31.4692,Valid
TST-0279,24.0313,Valid
TST-0243,18.5678,Valid
TST-0163,20.5272,Valid
TST-0131,29.7693,Valid
TST-0070,16.2454,Valid
TST-0137,18.6253,Valid
TST-0210,29.638,Valid
TST-0288,21.0647,Valid
TST-0248,18.3263,Valid
TST-0277,22.2541,Invalid
TST-0215,21.6959,Valid
TST-0138,16.4561,Valid
TST-0228,17.5971,Valid
TST-0252,48.5823,Valid
TST-0205,30.0172,Valid
TST-0348,22.71,Valid
TST-0177,22.6773,Valid
TST-0267,38.6104,Valid
TST-0308,23.3363,Valid
TST-0087,46.3136,Invalid
TST-0117,17.0853,Valid
TST-0014,17.8094,Valid
TST-0154,25.2149,Valid
TST-0207,47.1679,Valid
TST-0187,21.5631,Valid
TST-0236,21.2396,Valid
TST-0283,35.3252,Invalid
TST-0089,18.2148,Valid
TST-0202,22.6459,Valid
TST-0160,18.5156,Valid
TST-0036,25.8663,Valid
TST-0275,48.6123,Valid
TST-0023,34.0555,Valid
TST-0091,43.3367,Valid
TST-0151,43.8338,Valid
TST-0310,22.3465,Valid
TST-0239,15.0476,Valid
TST-0331,32.9589,Valid
TST-0316,13.3834,Invalid
TST-0338,14.3442,Valid
TST-0019,19.9643,Valid
TST-0168,13.7282,Invalid
TST-0007,18.3644,Valid
TST-0211,32.0129,Valid
TST-0016,36.8788,Valid
TST-0027,19.4363,Invalid
TST-0031,16.5205,Invalid
TST-0249,28.4106,Valid
TST-0011,16.2117,Valid
TST-0080,23.0556,Invalid
TST-0121,16.5006,Valid
TST-0266,19.5388,Valid
TST-0198,21.8519,Valid
TST-0067,30.8536,Valid
TST-0102,21.6576,Valid
TST-0005,37.0396,Valid
TST-0003,30.8313,Valid
TST-0132,45.4404,Valid
TST-0029,26.7892,Valid
TST-0221,28.4564,Valid
TST-0099,17.623,Valid
TST-0062,17.2298,Valid
TST-0095,26.9628,Valid
TST-0126,17.0438,Valid
TST-0034,50.2137,Valid
TST-0103,15.9841,Valid
TST-0245,23.3424,Valid
TST-0058,50.3357,Valid
TST-0065,26.2081,Valid
TST-0086,19.6143,Valid
TST-0342,20.5681,Valid
TST-0335,17.8914,Valid
TST-0180,18.4466,Invalid
TST-0294,23.9295,Invalid
TST-0072,20.8645,Valid
TST-0315,47.7912,Invalid
TST-0182,45.9916,Valid
TST-0200,21.6763,Valid
TST-0030,16.6783,Valid
TST-0193,16.8511,Valid
TST-0231,21.0825,Valid
TST-0128,25.4668,Valid
TST-0165,28.1396,Invalid
TST-0074,13.766,Valid
TST-0004,34.1431,Valid
TST-0157,23.6967,Valid
TST-0143,27.255,Valid
TST-0179,41.6099,Valid
TST-0075,27.5207,Valid
TST-0233,25.0427,Valid
TST-0111,26.2715,Valid
TST-0350,21.2305,Valid
TST-0122,17.1975,Valid
TST-0076,22.4569,Valid
TST-0304,26.1606,Valid
TST-0190,29.4183,Valid
TST-0061,16.8246,Valid
TST-0009,26.4181,Valid
TST-0194,44.1885,Valid
TST-0156,14.9549,Valid
TST-0088,32.1529,Valid
TST-0256,47.3545,Valid
TST-0329,16.4938,Valid
TST-0219,42.5208,Valid
TST-0306,13.8399,Valid
TST-0324,22.995,Valid
TST-0113,21.8365,Valid
TST-0135,16.1619,Valid
TST-0339,17.8112,Valid
TST-0260,22.6039,Valid
TST-0195,26.5067,Valid
TST-0286,28.2734,Valid
TST-0015,24.3417,Valid
TST-0263,19.5035,Valid
TST-0147,24.4274,Valid
TST-0002,24.4168,Invalid
TST-0114,46.9275,Valid
TST-0271,25.0582,Invalid
TST-0223,22.1088,Valid
TST-0344,16.2089,Valid
TST-0183,30.8468,Valid
TST-0327,32.9085,Valid
TST-0250,19.8219,Invalid
TST-0185,38.4102,Valid
TST-0242,21.5673,Valid
TST-0158,13.1108,Valid
TST-0078,44.86,Valid
TST-0120,21.4533,Valid
TST-0093,29.9461,Valid
TST-0051,15.9178,Valid
TST-0010,16.1173,Valid
TST-0013,51.4118,Valid
TST-0049,14.9588,Valid
TST-0041,17.6594,Valid
TST-0055,31.8077,Valid
TST-0012,20.5506,Valid
TST-0127,49.3224,Valid
TST-0225,26.6219,Valid
TST-0050,24.0969,Valid
TST-0172,38.0769,Valid
TST-0079,32.3746,Valid
TST-0046,22.0907,Valid
TST-0325,18.4027,Valid
TST-0280,20.7107,Valid
TST-0140,15.1397,Valid
TST-0244,47.7912,Invalid
TST-0203,20.9826,Valid
TST-0238,18.497,Valid
TST-0092,28.2756,Valid
TST-0307,13.996,Valid
TST-0176,29.5316,Valid
TST-0115,17.508,Invalid
TST-0028,14.5443,Invalid
TST-0317,19.2791,Valid
TST-0251,39.001,Valid
TST-0301,14.8076,Valid
TST-0116,37.3429,Valid
TST-0056,24.2375,Valid
TST-0166,27.5893,Valid
TST-0247,32.9211,Valid
TST-0291,27.6554,Valid
TST-0167,29.4045,Valid
TST-0313,48.3911,Valid
TST-0105,14.0456,Valid
TST-0104,20.938,Valid
TST-0045,35.7655,Valid
TST-0289,44.9908,Valid
TST-0048,27.2752,Valid
TST-0110,18.7596,Valid
TST-0037,39.423,Invalid
TST-0305,18.6439,Valid
TST-0240,32.7395,Valid
TST-0155,33.4888,Valid
TST-0119,52.8364,Valid
TST-0295,23.6911,Valid
TST-0229,18.5471,Valid
TST-0106,21.3671,Valid
TST-0052,15.892,Valid
TST-0276,21.2513,Invalid
TST-0216,21.5934,Valid
TST-0208,20.3647,Valid
TST-0188,21.9881,Valid
TST-0145,49.6261,Valid
TST-0039,21.6608,Valid
TST-0173,18.9117,Valid
TST-0082,20.3914,Valid
TST-0296,36.8642,Valid
TST-0297,36.0075,Valid
TST-0125,17.6643,Valid
TST-0199,21.4986,Invalid
TST-0330,21.7511,Valid
TST-0133,36.1548,Valid
TST-0175,31.6953,Valid
TST-0270,45.1566,Valid
TST-0255,16.92,Valid
TST-0025,13.7109,Valid
TST-0073,13.8893,Valid
TST-0077,20.8641,Valid
TST-0293,14.6278,Valid
TST-0212,33.3026,Invalid
TST-0081,14.0916,Valid
TST-0328,19.5926,Valid
TST-0290,49.1469,Invalid
TST-0337,16.8246,Valid
TST-0171,23.5097,Valid
TST-0057,30.017,Valid
TST-0284,19.4059,Valid
TST-0063,20.6721,Invalid
TST-0022,21.2076,Valid
TST-0044,17.3404,Valid
TST-0035,24.4363,Valid
TST-0258,44.4495,Invalid
TST-0334,26.7671,Valid
TST-0018,27.5404,Valid
TST-0321,21.7535,Valid
TST-0282,14.7745,Valid
TST-0142,45.9667,Invalid
TST-0312,22.8105,Valid
TST-0101,21.4974,Valid
TST-0134,24.7378,Invalid
TST-0287,32.815,Valid
TST-0153,33.3123,Valid
TST-0299,30.4352,Valid
TST-0204,23.0556,Invalid
TST-0090,19.7485,Valid
TST-0186,33.3486,Valid
TST-0209,48.7225,Valid
TST-0130,21.8249,Valid
TST-0224,23.1795,Valid
TST-0302,28.054,Valid
TST-0118,15.4804,Valid
TST-0292,20.3467,Valid
TST-0345,22.2541,Invalid
TST-0108,23.5548,Valid
TST-0071,15.5929,Valid
TST-0053,15.9965,Valid
TST-0273,17.0884,Valid
TST-0300,15.3929,Valid
TST-0148,19.1836,Valid
TST-0347,39.8732,Valid
TST-0146,28.1396,Invalid
TST-0241,18.3277,Valid
TST-0096,16.6467,Valid
TST-0220,23.2108,Valid
TST-0174,22.3152,Valid
TST-0246,14.8214,Valid
TST-0136,18.7627,Valid
TST-0109,21.9382,Valid
TST-0040,37.8873,Valid
TST-0043,21.0291,Invalid
TST-0181,36.871,Valid
TST-0268,17.3996,Valid
TST-0253,16.3182,Valid
TST-0017,25.4272,Valid
TST-0201,23.0979,Valid
TST-0129,16.8981,Valid
TST-0068,47.1242,Valid
TST-0161,14.9446,Valid
TST-0298,21.0766,Invalid
TST-0094,43.3871,Valid
TST-0336,27.5915,Invalid
TST-0149,20.3911,Valid
TST-0191,48.6506,Valid
TST-0032,18.5046,Valid
TST-0054,16.5434,Valid
TST-0349,55.6897,Valid
TST-0100,17.9973,Valid
TST-0162,19.2973,Valid
TST-0326,23.4746,Valid
TST-0340,19.603,Valid
TST-0319,28.8013,Valid
TST-0064,18.7684,Valid
TST-0259,28.454,Valid
TST-0066,43.8626,Valid
