Test_ID,Predicted_Reference_Parameter,Valid / Invalid
TST-0278,30.8341,Invalid
TST-0006,18.8387,Valid
TST-0047,55.7813,Valid
TST-0311,25.9736,Valid
TST-0264,22.4093,Invalid
TST-0169,19.9658,Valid
TST-0269,18.2452,Valid
TST-0178,16.1568,Invalid
TST-0206,32.0517,Valid
TST-0038,18.1121,Valid
TST-0213,14.8935,Valid
TST-0309,16.4316,Valid
TST-0059,33.1838,Valid
TST-0159,18.3702,Valid
TST-0235,19.9453,Valid
TST-0230,21.2605,Valid
TST-0323,36.9849,Valid
TST-0262,18.577,Valid
TST-0274,13.9503,Valid
TST-0214,49.122,Valid
TST-0024,40.297,Valid
TST-0234,17.3199,Valid
TST-0333,22.5602,Valid
TST-0060,20.4145,Valid
TST-0226,36.1329,Valid
TST-0197,16.2236,Valid
TST-0346,41.2208,Valid
TST-0192,26.3847,Valid
TST-0141,29.3374,Valid
TST-0222,39.0947,Invalid
TST-0232,19.5451,Valid
TST-0085,23.7872,Valid
TST-0237,32.023,Valid
TST-0001,39.0069,Valid
TST-0069,16.446,Valid
TST-0272,23.429,Valid
TST-0343,34.4626,Valid
TST-0320,26.1866,Valid
TST-0008,31.7522,Invalid
TST-0144,23.4673,Valid
TST-0184,22.0007,Valid
TST-0107,57.0232,Valid
TST-0026,42.4121,Valid
TST-0164,42.424,Valid
TST-0217,32.497,Valid
TST-0332,30.9532,Valid
TST-0279,23.6878,Valid
TST-0243,18.2019,Valid
TST-0163,20.2301,Valid
TST-0131,29.6508,Valid
TST-0070,16.36,Valid
TST-0137,18.5312,Valid
TST-0210,29.466,Valid
TST-0288,21.0507,Valid
TST-0248,18.0512,Valid
TST-0277,22.2816,Invalid
TST-0215,21.8561,Valid
TST-0138,16.2623,Valid
TST-0228,17.3724,Valid
TST-0252,48.1511,Valid
TST-0205,29.6245,Valid
TST-0348,22.5963,Valid
TST-0177,22.9469,Valid
TST-0267,37.7162,Valid
TST-0308,23.2863,Valid
TST-0087,43.5092,Invalid
TST-0117,16.8352,Valid
TST-0014,18.3703,Valid
TST-0154,24.5507,Valid
TST-0207,46.7818,Valid
TST-0187,22.0251,Valid
TST-0236,21.3193,Valid
TST-0283,35.413,Invalid
TST-0089,18.0658,Valid
TST-0202,23.0551,Valid
TST-0160,18.5695,Valid
TST-0036,26.0406,Valid
TST-0275,47.709,Valid
TST-0023,34.6253,Valid
TST-0091,42.9603,Valid
TST-0151,44.0647,Valid
TST-0310,22.7655,Valid
TST-0239,14.9411,Valid
TST-0331,32.4713,Valid
TST-0316,13.4754,Invalid
TST-0338,14.2901,Valid
TST-0019,19.8919,Valid
TST-0168,13.6914,Invalid
TST-0007,18.2116,Valid
TST-0211,31.8507,Valid
TST-0016,35.8322,Valid
TST-0027,18.885,Invalid
TST-0031,16.3295,Invalid
TST-0249,28.3667,Valid
TST-0011,16.1598,Valid
TST-0080,23.6155,Invalid
TST-0121,16.4562,Valid
TST-0266,19.5592,Valid
TST-0198,22.1214,Valid
TST-0067,31.033,Valid
TST-0102,21.744,Valid
TST-0005,37.0783,Valid
TST-0003,30.4581,Valid
TST-0132,44.09,Valid
TST-0029,26.6446,Valid
TST-0221,32.3538,Valid
TST-0099,17.2938,Valid
TST-0062,17.3389,Valid
TST-0095,26.6064,Valid
TST-0126,17.0331,Valid
TST-0034,50.289,Valid
TST-0103,16.0486,Valid
TST-0245,22.9805,Valid
TST-0058,50.1615,Valid
TST-0065,26.6131,Valid
TST-0086,19.3621,Valid
TST-0342,20.6939,Valid
TST-0335,17.8051,Valid
TST-0180,17.8684,Invalid
TST-0294,23.2996,Invalid
TST-0072,20.7827,Valid
TST-0315,47.955,Invalid
TST-0182,45.3633,Valid
TST-0200,21.6239,Valid
TST-0030,16.6076,Valid
TST-0193,16.8796,Valid
TST-0231,20.9772,Valid
TST-0128,25.5178,Valid
TST-0165,28.3139,Invalid
TST-0074,13.9492,Valid
TST-0004,34.079,Valid
TST-0157,24.0052,Valid
TST-0143,27.3558,Valid
TST-0179,42.0661,Valid
TST-0075,27.4065,Valid
TST-0233,24.589,Valid
TST-0111,26.4216,Valid
TST-0350,21.4042,Valid
TST-0122,17.0726,Valid
TST-0076,22.4709,Valid
TST-0304,26.1733,Valid
TST-0190,29.2614,Valid
TST-0061,16.8899,Valid
TST-0009,27.0453,Valid
TST-0194,44.7542,Valid
TST-0156,14.953,Valid
TST-0088,32.1545,Valid
TST-0256,47.6326,Valid
TST-0329,16.3968,Valid
TST-0219,42.2747,Valid
TST-0306,14.0735,Valid
TST-0324,22.5834,Valid
TST-0113,21.6821,Valid
TST-0135,16.124,Valid
TST-0339,17.29,Valid
TST-0260,22.4665,Valid
TST-0195,26.3014,Valid
TST-0286,28.38,Valid
TST-0015,25.2704,Valid
TST-0263,19.4045,Valid
TST-0147,24.4644,Valid
TST-0002,24.6185,Invalid
TST-0114,46.6459,Valid
TST-0271,26.0478,Invalid
TST-0223,22.0813,Valid
TST-0344,15.8685,Valid
TST-0183,30.8622,Valid
TST-0327,32.4516,Valid
TST-0250,19.2895,Invalid
TST-0185,38.9066,Valid
TST-0242,21.3481,Valid
TST-0158,12.8852,Valid
TST-0078,45.5461,Valid
TST-0120,21.6688,Invalid
TST-0093,30.1204,Valid
TST-0051,15.8717,Valid
TST-0010,15.9123,Valid
TST-0013,50.8239,Valid
TST-0049,14.9401,Valid
TST-0041,17.5185,Valid
TST-0055,31.3823,Valid
TST-0012,20.5096,Valid
TST-0127,49.0878,Valid
TST-0225,26.6149,Valid
TST-0050,23.428,Valid
TST-0172,38.7803,Valid
TST-0079,32.4957,Valid
TST-0046,22.2223,Valid
TST-0325,18.0897,Valid
TST-0280,20.4125,Valid
TST-0140,15.0724,Valid
TST-0244,47.955,Invalid
TST-0203,21.0813,Valid
TST-0238,18.5303,Valid
TST-0092,28.064,Valid
TST-0307,14.0924,Valid
TST-0176,28.9163,Valid
TST-0115,17.1815,Invalid
TST-0028,15.9263,Invalid
TST-0317,19.5277,Valid
TST-0251,38.7831,Valid
TST-0301,14.938,Valid
TST-0116,37.3424,Valid
TST-0056,24.4985,Valid
TST-0166,27.5413,Valid
TST-0247,33.154,Valid
TST-0291,27.8568,Valid
TST-0167,29.6254,Valid
TST-0313,47.9516,Valid
TST-0105,14.0352,Valid
TST-0104,20.9999,Valid
TST-0045,35.7583,Valid
TST-0289,44.2963,Valid
TST-0048,27.1881,Valid
TST-0110,18.3574,Valid
TST-0037,39.1603,Invalid
TST-0305,18.3393,Valid
TST-0240,32.6843,Valid
TST-0155,33.6864,Valid
TST-0119,53.7922,Valid
TST-0295,23.8026,Valid
TST-0229,18.5237,Valid
TST-0106,21.3829,Valid
TST-0052,16.0573,Valid
TST-0276,21.1527,Invalid
TST-0216,21.4518,Valid
TST-0208,20.4001,Valid
TST-0188,21.8738,Valid
TST-0145,49.8807,Valid
TST-0039,21.7133,Valid
TST-0173,18.9249,Valid
TST-0082,20.2679,Valid
TST-0296,36.8179,Valid
TST-0297,33.588,Valid
TST-0125,17.6127,Valid
TST-0199,21.2557,Invalid
TST-0330,21.6613,Valid
TST-0133,35.5264,Valid
TST-0175,31.4853,Valid
TST-0270,45.348,Valid
