Test_ID,Predicted_Reference_Parameter,Valid / Invalid
TST-0278,30.1881,Invalid
TST-0006,19.2904,Valid
TST-0047,56.9413,Valid
TST-0311,25.3276,Valid
TST-0264,24.0657,Invalid
TST-0169,19.9747,Valid
TST-0269,18.4681,Valid
TST-0178,14.7481,Invalid
TST-0206,32.6044,Valid
TST-0038,17.9675,Valid
TST-0213,15.3557,Valid
TST-0309,16.085,Valid
TST-0059,32.8683,Valid
TST-0159,18.6588,Valid
TST-0235,20.1602,Valid
TST-0230,21.2983,Valid
TST-0323,36.7415,Valid
TST-0262,18.8398,Valid
TST-0274,13.9086,Valid
TST-0214,48.2845,Valid
TST-0024,39.8511,Valid
TST-0234,17.6757,Valid
TST-0333,22.165,Valid
TST-0060,20.2697,Valid
TST-0226,35.879,Valid
TST-0197,16.0927,Valid
TST-0346,41.7713,Valid
TST-0192,25.8823,Valid
TST-0141,28.9973,Valid
TST-0222,37.5098,Invalid
TST-0232,19.3632,Valid
TST-0085,24.5059,Valid
TST-0237,32.8576,Valid
TST-0001,37.6938,Valid
TST-0069,16.8193,Valid
TST-0272,23.9678,Valid
TST-0343,34.3536,Valid
TST-0320,26.606,Valid
TST-0008,32.4401,Invalid
TST-0144,23.7276,Valid
TST-0184,21.891,Valid
TST-0107,57.2579,Valid
TST-0026,42.2313,Valid
TST-0164,42.4676,Valid
TST-0217,32.8787,Valid
TST-0332,31.5281,Valid
TST-0279,24.3401,Valid
TST-0243,18.3151,Valid
TST-0163,20.7673,Valid
TST-0131,29.2812,Valid
TST-0070,16.4424,Valid
TST-0137,18.7496,Valid
TST-0210,29.2665,Valid
TST-0288,20.6562,Valid
TST-0248,17.8672,Valid
TST-0277,22.0688,Invalid
TST-0215,21.6978,Valid
TST-0138,16.5709,Valid
TST-0228,17.7058,Valid
TST-0252,49.0773,Valid
TST-0205,30.2672,Valid
TST-0348,22.6759,Valid
TST-0177,23.2106,Valid
TST-0267,38.357,Valid
TST-0308,22.988,Valid
TST-0087,46.6633,Invalid
TST-0117,17.1512,Valid
TST-0014,18.2933,Valid
TST-0154,23.7432,Valid
TST-0207,47.058,Valid
TST-0187,21.8739,Valid
TST-0236,21.1193,Valid
TST-0283,35.5816,Invalid
TST-0089,18.2488,Valid
TST-0202,23.1534,Valid
TST-0160,18.3729,Valid
TST-0036,25.1534,Valid
TST-0275,47.9234,Valid
TST-0023,34.0418,Valid
TST-0091,42.886,Valid
TST-0151,43.4735,Valid
TST-0310,22.6853,Valid
TST-0239,14.9892,Valid
TST-0331,32.141,Valid
TST-0316,13.6727,Invalid
TST-0338,14.4928,Valid
TST-0019,20.1837,Valid
TST-0168,14.7884,Invalid
TST-0007,18.493,Valid
TST-0211,31.7255,Valid
TST-0016,36.8997,Valid
TST-0027,20.7319,Invalid
TST-0031,17.1815,Invalid
TST-0249,28.9337,Valid
TST-0011,16.1575,Valid
TST-0080,22.6762,Invalid
TST-0121,16.5737,Valid
TST-0266,19.4981,Valid
TST-0198,22.1453,Valid
TST-0067,31.6094,Valid
TST-0102,21.3206,Valid
TST-0005,36.671,Valid
TST-0003,29.8756,Valid
TST-0132,43.9574,Valid
TST-0029,25.9083,Valid
TST-0221,31.3148,Valid
TST-0099,17.8724,Valid
TST-0062,17.4017,Valid
TST-0095,26.7778,Valid
TST-0126,17.1101,Valid
TST-0034,50.3685,Valid
TST-0103,16.0818,Valid
TST-0245,22.7963,Valid
TST-0058,50.3361,Valid
TST-0065,26.1608,Valid
TST-0086,19.626,Valid
TST-0342,20.5744,Valid
TST-0335,17.9798,Valid
TST-0180,18.5405,Invalid
TST-0294,25.0705,Invalid
TST-0072,20.8526,Valid
TST-0315,47.46,Invalid
TST-0182,45.427,Valid
TST-0200,21.4944,Valid
TST-0030,16.7133,Valid
TST-0193,16.9559,Valid
TST-0231,20.7334,Valid
TST-0128,26.3193,Valid
