Test_ID,Predicted_Reference_Parameter,Valid / Invalid
TST-0278,30.4513,Invalid
TST-0006,19.0389,Valid
TST-0047,56.1377,Valid
TST-0311,25.8332,Valid
TST-0264,23.5384,Invalid
TST-0169,20.0083,Valid
TST-0269,18.2304,Valid
TST-0178,15.6457,Invalid
TST-0206,32.3938,Valid
TST-0038,18.1886,Valid
TST-0213,15.1483,Valid
TST-0309,16.3913,Valid
TST-0059,32.9702,Valid
TST-0159,18.4877,Valid
TST-0235,19.9541,Valid
TST-0230,21.1211,Valid
TST-0323,37.4435,Valid
TST-0262,18.6486,Valid
TST-0274,13.9972,Valid
TST-0214,48.6828,Valid
TST-0024,40.0402,Valid
TST-0234,17.4941,Valid
TST-0333,22.1604,Valid
TST-0060,20.3716,Valid
TST-0226,36.6565,Valid
TST-0197,16.2896,Valid
TST-0346,41.4085,Valid
TST-0192,25.3206,Valid
TST-0141,29.4619,Valid
TST-0222,38.5021,Invalid
TST-0232,19.5955,Valid
TST-0085,23.6089,Valid
TST-0237,32.3647,Valid
TST-0001,38.5939,Valid
TST-0069,16.592,Valid
TST-0272,23.2186,Valid
TST-0343,34.6647,Valid
TST-0320,26.4657,Valid
TST-0008,33.4584,Invalid
TST-0144,23.3686,Valid
TST-0184,21.7527,Valid
TST-0107,56.1089,Invalid
TST-0026,41.9173,Valid
TST-0164,42.8438,Valid
TST-0217,32.9453,Invalid
TST-0332,31.3424,Valid
TST-0279,23.9028,Valid
TST-0243,18.5356,Valid
TST-0163,20.3999,Valid
TST-0131,29.6825,Valid
TST-0070,16.2779,Valid
TST-0137,18.549,Valid
TST-0210,29.5764,Valid
TST-0288,21.0853,Valid
TST-0248,18.2109,Valid
TST-0277,22.3738,Invalid
TST-0215,21.7051,Valid
TST-0138,16.4237,Valid
TST-0228,17.5453,Valid
TST-0252,48.576,Valid
TST-0205,30.09,Valid
TST-0348,22.674,Valid
TST-0177,22.7491,Valid
TST-0267,38.3837,Valid
TST-0308,23.2971,Valid
TST-0087,45.5167,Invalid
TST-0117,17.0045,Valid
TST-0014,17.9447,Valid
TST-0154,25.0556,Valid
TST-0207,46.9307,Valid
TST-0187,21.6627,Valid
TST-0236,21.2037,Valid
TST-0283,35.0641,Invalid
TST-0089,18.2388,Valid
TST-0202,22.942,Valid
TST-0160,18.5075,Valid
TST-0036,25.8732,Valid
TST-0275,48.403,Valid
TST-0023,34.2966,Valid
TST-0091,43.0827,Valid
TST-0151,43.7708,Valid
TST-0310,22.574,Valid
TST-0239,15.0379,Valid
TST-0331,32.8312,Valid
TST-0316,13.3847,Invalid
TST-0338,14.2721,Valid
TST-0019,20.03,Valid
TST-0168,13.6951,Invalid
TST-0007,18.3403,Valid
TST-0211,31.7182,Valid
TST-0016,36.4136,Valid
TST-0027,19.2107,Invalid
TST-0031,16.4744,Invalid
TST-0249,28.3399,Valid
TST-0011,16.2243,Valid
TST-0080,23.0746,Invalid
TST-0121,16.4583,Valid
TST-0266,19.5222,Valid
TST-0198,21.8277,Valid
TST-0067,30.8654,Valid
TST-0102,21.6612,Valid
TST-0005,36.8724,Valid
TST-0003,30.5974,Valid
TST-0132,45.4119,Valid
TST-0029,26.6863,Valid
TST-0221,29.5036,Valid
TST-0099,17.5908,Valid
TST-0062,17.2138,Valid
TST-0095,26.77,Valid
TST-0126,17.0466,Valid
TST-0034,50.0795,Valid
TST-0103,15.9978,Valid
TST-0245,23.152,Valid
TST-0058,50.2862,Valid
TST-0065,26.3885,Valid
TST-0086,19.5475,Valid
TST-0342,20.5194,Valid
TST-0335,17.9042,Valid
TST-0180,18.3508,Invalid
TST-0294,23.6352,Invalid
TST-0072,20.8307,Valid
TST-0315,47.7368,Invalid
TST-0182,45.8438,Valid
TST-0200,21.5359,Valid
TST-0030,16.6233,Valid
TST-0193,16.8377,Valid
TST-0231,21.041,Valid
TST-0128,25.5333,Valid
TST-0165,28.2161,Invalid
TST-0074,13.7814,Valid
TST-0004,34.3055,Valid
TST-0157,23.5897,Valid
TST-0143,27.4265,Valid
TST-0179,41.4862,Valid
TST-0075,27.4986,Valid
TST-0233,25.1426,Valid
TST-0111,26.2833,Valid
TST-0350,21.2333,Valid
TST-0122,17.2121,Valid
TST-0076,22.3941,Valid
TST-0304,26.288,Valid
TST-0190,29.4276,Valid
TST-0061,16.8227,Valid
TST-0009,26.8782,Valid
TST-0194,44.19,Valid
TST-0156,14.9308,Valid
TST-0088,31.8248,Valid
TST-0256,47.5283,Valid
TST-0329,16.4759,Valid
TST-0219,42.3523,Valid
TST-0306,13.8354,Valid
TST-0324,22.8827,Valid
TST-0113,21.789,Valid
TST-0135,16.129,Valid
TST-0339,17.6832,Valid
TST-0260,22.736,Valid
TST-0195,26.5355,Invalid
TST-0286,28.0974,Valid
TST-0015,24.7674,Valid
TST-0263,19.4407,Valid
TST-0147,24.4349,Valid
TST-0002,24.4899,Invalid
TST-0114,46.8466,Valid
TST-0271,25.0707,Invalid
TST-0223,22.1285,Valid
TST-0344,16.0909,Valid
TST-0183,30.889,Valid
TST-0327,32.9054,Valid
TST-0250,19.5248,Invalid
TST-0185,38.5599,Valid
TST-0242,21.5144,Valid
TST-0158,13.069,Valid
TST-0078,44.7649,Valid
TST-0120,21.7522,Invalid
TST-0093,30.0382,Valid
TST-0051,15.87,Valid
TST-0010,16.0695,Valid
TST-0013,51.4168,Valid
TST-0049,14.938,Valid
TST-0041,17.6692,Valid
TST-0055,31.7937,Valid
TST-0012,20.5302,Valid
TST-0127,49.2134,Valid
TST-0225,26.6706,Valid
TST-0050,23.9104,Valid
TST-0172,38.2654,Valid
TST-0079,32.4994,Valid
TST-0046,22.0521,Valid
TST-0325,18.3567,Valid
TST-0280,20.5686,Valid
TST-0140,15.1119,Valid
TST-0244,47.7368,Invalid
TST-0203,21.1095,Valid
TST-0238,18.4626,Valid
TST-0092,28.235,Valid
TST-0307,13.9778,Valid
TST-0176,29.3876,Valid
TST-0115,17.4867,Invalid
TST-0028,14.7452,Invalid
TST-0317,19.243,Valid
TST-0251,38.8943,Valid
TST-0301,14.7908,Valid
TST-0116,37.248,Valid
TST-0056,24.2956,Valid
TST-0166,27.5565,Valid
TST-0247,32.961,Valid
TST-0291,27.6432,Valid
TST-0167,29.4885,Invalid
TST-0313,48.2059,Valid
TST-0105,14.0283,Valid
TST-0104,20.9084,Valid
TST-0045,35.8401,Valid
TST-0289,44.5975,Valid
TST-0048,27.3736,Valid
TST-0110,18.6329,Valid
TST-0037,38.9916,Invalid
TST-0305,18.6391,Valid
TST-0240,32.8893,Valid
TST-0155,33.612,Valid
TST-0119,52.9355,Valid
TST-0295,23.6248,Valid
TST-0229,18.5838,Valid
TST-0106,21.3529,Valid
TST-0052,15.8784,Valid
TST-0276,21.2635,Invalid
TST-0216,21.5635,Valid
TST-0208,20.4365,Valid
TST-0188,21.9135,Valid
TST-0145,49.7324,Valid
TST-0039,21.7039,Valid
TST-0173,18.9615,Valid
TST-0082,20.3291,Valid
TST-0296,36.7862,Valid
TST-0297,35.2254,Valid
TST-0125,17.6471,Valid
TST-0199,21.4783,Invalid
TST-0330,21.7178,Valid
TST-0133,35.9873,Valid
TST-0175,31.7025,Valid
TST-0270,44.9645,Valid
TST-0255,16.9097,Valid
TST-0025,13.6214,Valid
TST-0073,13.8703,Valid
TST-0077,20.8503,Valid
TST-0293,14.6686,Valid
TST-0212,33.202,Invalid
TST-0081,13.9977,Valid
TST-0328,19.6234,Valid
TST-0290,49.3859,Invalid
TST-0337,16.7957,Valid
TST-0171,23.405,Valid
TST-0057,30.0913,Valid
TST-0284,19.3837,Valid
TST-0063,20.887,Invalid
TST-0022,21.4337,Valid
TST-0044,17.3816,Valid
TST-0035,24.2105,Valid
TST-0258,44.0092,Invalid
TST-0334,26.9483,Valid
TST-0018,27.4605,Valid
TST-0321,21.703,Valid
TST-0282,14.7524,Valid
TST-0142,45.6716,Invalid
TST-0312,22.9739,Valid
TST-0101,21.7498,Valid
TST-0134,24.7249,Invalid
TST-0287,33.0029,Valid
TST-0153,33.1302,Valid
TST-0299,30.4128,Valid
TST-0204,23.0746,Invalid
TST-0090,19.7408,Valid
TST-0186,33.3784,Valid
TST-0209,48.8868,Valid
TST-0130,21.6862,Valid
TST-0224,23.0641,Valid
TST-0302,28.451,Valid
TST-0118,15.4592,Valid
TST-0292,20.2788,Valid
TST-0345,22.3738,Invalid
TST-0108,23.8604,Valid
TST-0071,15.5485,Valid
TST-0053,16.057,Valid
TST-0273,17.0473,Valid
TST-0300,15.3151,Valid
TST-0148,19.1614,Valid
TST-0347,39.6499,Valid
TST-0146,28.2161,Invalid
TST-0241,18.3631,Valid
TST-0096,16.645,Valid
TST-0220,23.1154,Valid
TST-0174,22.4654,Valid
TST-0246,14.8693,Valid
TST-0136,18.881,Valid
TST-0109,21.9389,Valid
TST-0040,37.805,Valid
TST-0043,20.7726,Invalid
TST-0181,37.0075,Valid
TST-0268,17.3791,Valid
TST-0253,16.2773,Valid
TST-0017,25.4029,Valid
TST-0201,23.0643,Valid
TST-0129,16.845,Valid
TST-0068,47.5389,Valid
TST-0161,15.0092,Valid
TST-0298,21.031,Invalid
TST-0094,43.4324,Valid
TST-0336,27.6521,Invalid
TST-0149,20.4826,Valid
TST-0191,48.5775,Valid
TST-0032,18.4751,Valid
TST-0054,16.4398,Valid
TST-0349,55.6249,Valid
TST-0100,17.9917,Valid
TST-0162,19.2693,Valid
TST-0326,23.3993,Valid
TST-0340,19.5674,Valid
TST-0319,28.8681,Valid
TST-0064,18.6991,Valid
TST-0259,28.6796,Valid
TST-0066,43.8176,Valid
TST-0123,48.015,Valid
TST-0218,20.775,Valid
TST-0261,23.0922,Valid
TST-0196,20.9513,Valid
TST-0281,28.4643,Invalid
TST-0303,37.5036,Valid
TST-0254,22.9357,Valid
TST-0322,18.3829,Valid
TST-0139,17.1557,Valid
TST-0257,37.674,Valid
TST-0033,16.794,Valid
TST-0112,49.6071,Valid
TST-0021,24.5857,Valid
TST-0083,18.1545,Valid
TST-0150,24.5263,Valid
TST-0265,23.8759,Valid
TST-0227,34.6055,Valid
TST-0170,24.8438,Valid
TST-0318,28.486,Valid
TST-0097,16.5015,Valid
TST-0152,35.0597,Valid
TST-0084,56.7822,Valid
TST-0124,17.0446,Valid
TST-0098,33.7398,Valid
TST-0341,29.9886,Valid
TST-0042,31.4362,Valid
TST-0189,19.6025,Valid
TST-0285,23.0681,Valid
TST-0020,22.2061,Valid
TST-0314,43.9223,Valid
